"","Gender","SeniorCitizen","Partner","Dependents","Tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn","sample"
"216","Female","No","Yes","No",57,"No","No","DSL","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",58.75,3437.45,"No",TRUE
"217","Male","No","Yes","Yes",72,"No","No","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","Credit card (automatic)",45.25,3139.8,"No",TRUE
"218","Male","No","Yes","No",66,"No","No","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","Yes","Bank transfer (automatic)",56.6,3789.2,"No",TRUE
"219","Male","No","Yes","Yes",65,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",84.2,5324.5,"No",TRUE
"220","Female","No","No","No",8,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",80,624.6,"No",FALSE
"221","Female","No","No","No",4,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.15,268.35,"Yes",TRUE
"224","Male","No","Yes","No",4,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Mailed check",50.05,179.35,"Yes",FALSE
"226","Male","No","No","No",24,"No","No","DSL","Yes","No","No","No","Yes","Yes","One year","Yes","Mailed check",50.6,1288.75,"No",FALSE
"227","Female","No","Yes","Yes",31,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","One year","Yes","Mailed check",81.15,2545.75,"No",TRUE
"228","Female","No","Yes","No",1,"Yes","No","DSL","No","No","No","No","Yes","No","Month-to-month","No","Mailed check",55.2,55.2,"Yes",TRUE
"229","Male","No","No","No",30,"Yes","Yes","Fiber optic","No","No","No","Yes","No","Yes","Month-to-month","Yes","Credit card (automatic)",89.9,2723.15,"No",FALSE
"230","Female","No","Yes","Yes",47,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",85.3,4107.25,"No",TRUE
"231","Male","No","No","No",54,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",108,5760.65,"No",TRUE
"232","Male","No","No","No",50,"Yes","No","Fiber optic","Yes","Yes","No","Yes","No","Yes","Month-to-month","Yes","Credit card (automatic)",93.5,4747.5,"No",TRUE
"233","Male","No","No","No",1,"Yes","No","Fiber optic","Yes","No","No","No","No","Yes","Month-to-month","Yes","Mailed check",84.6,84.6,"Yes",FALSE
"236","Male","No","No","No",2,"Yes","Yes","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",54.4,114.1,"Yes",TRUE
"237","Female","No","No","No",10,"No","No","DSL","No","No","No","Yes","No","No","Two year","Yes","Mailed check",29.6,299.05,"No",TRUE
"238","Male","No","Yes","No",18,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",73.15,1305.95,"No",TRUE
"239","Female","Yes","No","No",11,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95,1120.3,"Yes",TRUE
"241","Female","No","No","No",72,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",86.6,6350.5,"No",FALSE
"242","Male","No","No","No",72,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",109.2,7878.3,"No",FALSE
"243","Female","No","Yes","Yes",41,"Yes","No","DSL","Yes","No","No","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",74.7,3187.65,"No",TRUE
"244","Female","Yes","Yes","No",65,"Yes","No","Fiber optic","Yes","Yes","Yes","No","No","Yes","Month-to-month","No","Electronic check",94.4,6126.15,"No",TRUE
"245","Female","Yes","No","No",13,"Yes","No","DSL","No","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",54.8,731.3,"No",FALSE
"246","Male","Yes","No","No",4,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",75.35,273.4,"No",TRUE
"247","Male","No","No","No",41,"Yes","Yes","DSL","No","No","Yes","No","No","Yes","One year","No","Mailed check",65,2531.8,"No",FALSE
"248","Male","Yes","No","No",15,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",74.4,1074.3,"Yes",TRUE
"249","Male","No","No","No",1,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",48.55,48.55,"Yes",TRUE
"250","Male","No","No","No",42,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","Yes","One year","Yes","Electronic check",99,4298.45,"No",FALSE
"251","Female","No","Yes","No",51,"Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","No","One year","Yes","Electronic check",93.5,4619.55,"No",FALSE
"252","Female","No","Yes","Yes",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",70.4,147.15,"Yes",TRUE
"253","Male","Yes","Yes","No",1,"No","No","DSL","No","Yes","No","No","Yes","No","Month-to-month","No","Electronic check",40.2,40.2,"Yes",TRUE
"254","Male","No","No","Yes",32,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","One year","No","Credit card (automatic)",83.7,2633.3,"No",TRUE
"256","Female","No","Yes","Yes",67,"No","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",59.55,4103.9,"No",FALSE
"257","Female","No","Yes","Yes",61,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",115.1,7008.15,"No",TRUE
"258","Male","No","No","No",50,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Credit card (automatic)",114.35,5791.1,"No",FALSE
"259","Female","No","Yes","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",44.6,80.55,"Yes",FALSE
"260","Female","Yes","Yes","No",29,"No","No","DSL","Yes","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",45,1228.65,"No",TRUE
"261","Male","Yes","No","No",3,"No","No","DSL","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",41.15,132.2,"Yes",TRUE
"262","Male","Yes","No","No",13,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",106.9,1364.3,"Yes",FALSE
"263","Male","Yes","Yes","No",57,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",89.85,4925.35,"No",TRUE
"264","Female","No","No","No",31,"No","No","DSL","Yes","Yes","No","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",49.85,1520.1,"No",TRUE
"265","Female","No","Yes","No",45,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Mailed check",113.3,5032.25,"No",TRUE
"266","Female","No","Yes","Yes",61,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",88.1,5526.75,"No",FALSE
"268","Female","Yes","No","No",19,"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Mailed check",105,2007.25,"No",TRUE
"271","Female","Yes","No","No",16,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",94.45,1511.2,"Yes",TRUE
"272","Male","No","Yes","No",57,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Two year","Yes","Electronic check",59.75,3450.15,"No",TRUE
"273","Male","No","No","No",1,"No","No","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",24.8,24.8,"Yes",TRUE
"274","Male","Yes","Yes","No",20,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","Month-to-month","No","Electronic check",107.05,2172.05,"No",TRUE
"275","Male","No","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Mailed check",70.6,70.6,"Yes",TRUE
"276","Male","No","Yes","No",5,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","Month-to-month","Yes","Electronic check",85.4,401.1,"Yes",TRUE
"277","Female","No","Yes","No",52,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",105.05,5624.85,"Yes",TRUE
"278","Male","Yes","Yes","No",21,"Yes","No","DSL","Yes","Yes","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",64.95,1339.8,"No",FALSE
"279","Male","No","No","No",14,"No","No","DSL","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",55,771.95,"No",TRUE
"280","Female","No","No","No",5,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",50.55,244.75,"No",FALSE
"281","Female","No","No","No",6,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","No","Mailed check",55.15,322.9,"No",FALSE
"282","Female","No","No","No",10,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",51.2,498.25,"No",FALSE
"284","Female","No","No","No",68,"Yes","Yes","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",54.45,3687.75,"No",TRUE
"285","Male","No","Yes","Yes",18,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","No","Mailed check",95.15,1779.95,"Yes",TRUE
"286","Female","No","No","No",22,"Yes","Yes","Fiber optic","No","No","No","No","No","No","One year","Yes","Credit card (automatic)",76,1783.6,"No",FALSE
"287","Female","No","No","No",20,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",44.35,927.15,"No",TRUE
"288","Male","No","Yes","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",70,70,"Yes",TRUE
"289","Male","Yes","No","No",8,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",74.5,606.55,"Yes",TRUE
"290","Male","No","No","No",10,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",44.85,435.4,"Yes",TRUE
"291","Male","Yes","No","No",24,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",76.1,1712.7,"Yes",TRUE
"292","Male","No","No","No",35,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","One year","No","Mailed check",61.2,2021.2,"No",FALSE
"293","Male","No","Yes","Yes",23,"Yes","No","Fiber optic","No","Yes","Yes","Yes","No","No","One year","No","Mailed check",86.8,1940.8,"No",TRUE
"294","Female","Yes","No","No",6,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",89.35,567.8,"No",TRUE
"297","Female","No","Yes","Yes",71,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Two year","No","Electronic check",76.05,5436.45,"No",TRUE
"298","Male","Yes","Yes","No",35,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.8,3437.5,"No",TRUE
"299","Male","No","Yes","Yes",40,"Yes","Yes","DSL","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",74.55,3015.75,"No",TRUE
"300","Female","No","No","Yes",1,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",73.6,73.6,"Yes",TRUE
"301","Male","No","No","No",23,"Yes","No","DSL","No","No","No","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",64.9,1509.8,"No",FALSE
"302","Female","Yes","No","No",4,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.45,396.1,"Yes",TRUE
"303","Male","No","No","No",4,"Yes","No","Fiber optic","No","No","Yes","Yes","No","Yes","Month-to-month","Yes","Electronic check",90.4,356.65,"No",TRUE
"304","Female","No","Yes","Yes",68,"No","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",60.3,4109,"No",TRUE
"305","Male","No","No","Yes",38,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",81.85,3141.7,"No",FALSE
"307","Male","Yes","Yes","No",32,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.9,2303.35,"Yes",TRUE
"308","Male","No","Yes","Yes",29,"Yes","No","DSL","No","No","Yes","Yes","Yes","Yes","Two year","No","Mailed check",75.55,2054.4,"No",TRUE
"309","Male","Yes","Yes","Yes",38,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","No","Electronic check",101.15,3741.85,"No",FALSE
"310","Male","No","No","Yes",48,"Yes","Yes","DSL","Yes","No","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",78.75,3682.45,"No",TRUE
"312","Female","No","No","No",22,"Yes","No","Fiber optic","Yes","No","No","Yes","No","Yes","Month-to-month","Yes","Electronic check",89.05,1886.25,"No",TRUE
"313","Female","No","No","No",43,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",115.05,4895.1,"No",TRUE
"314","Female","Yes","Yes","No",5,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.35,341.6,"No",TRUE
"315","Male","No","No","No",5,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",80.6,415.55,"Yes",TRUE
"316","Male","No","Yes","Yes",51,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","One year","No","Credit card (automatic)",110.05,5686.4,"No",TRUE
"318","Female","No","Yes","Yes",38,"Yes","No","DSL","Yes","Yes","No","Yes","Yes","Yes","One year","No","Credit card (automatic)",80.3,3058.65,"Yes",TRUE
"319","Male","Yes","Yes","No",24,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",93.15,2231.05,"Yes",TRUE
"320","Male","No","Yes","No",35,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)",91.5,3236.35,"No",TRUE
"321","Female","Yes","No","No",54,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","One year","No","Bank transfer (automatic)",82.45,4350.1,"Yes",TRUE
"322","Female","No","Yes","Yes",72,"No","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",60,4264,"No",TRUE
"323","Male","No","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",44.8,44.8,"No",TRUE
"324","Female","No","Yes","Yes",9,"Yes","No","DSL","Yes","No","No","No","No","No","One year","No","Mailed check",48.6,422.3,"No",TRUE
"325","Male","No","No","No",69,"No","No","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",60.05,4176.7,"No",TRUE
"326","Female","No","Yes","No",52,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",102.7,5138.1,"No",TRUE
"327","Female","Yes","Yes","No",11,"Yes","No","Fiber optic","No","No","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",82.9,880.05,"No",TRUE
"328","Female","Yes","No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.35,139.05,"Yes",TRUE
"329","Female","Yes","Yes","Yes",28,"No","No","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",35.9,973.65,"No",FALSE
"330","Female","Yes","No","No",17,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",82.65,1470.05,"No",TRUE
"333","Male","No","No","No",46,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","One year","Yes","Credit card (automatic)",94.9,4422.95,"No",TRUE
"334","Female","No","No","No",7,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",73.85,511.25,"Yes",TRUE
"335","Female","No","No","No",2,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","No","Mailed check",80.6,155.8,"Yes",TRUE
"336","Male","No","Yes","Yes",68,"Yes","Yes","DSL","No","Yes","Yes","Yes","No","Yes","One year","Yes","Bank transfer (automatic)",75.8,5293.95,"Yes",TRUE
"337","Female","No","No","No",43,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Electronic check",104.6,4759.85,"Yes",FALSE
"338","Female","No","No","No",68,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",88.15,6148.45,"No",TRUE
"339","Female","No","No","No",36,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",94.8,3565.65,"No",TRUE
"340","Male","No","Yes","No",63,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",103.4,6603,"Yes",TRUE
"341","Female","Yes","No","No",32,"Yes","No","DSL","No","Yes","No","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",54.65,1830.1,"No",FALSE
"342","Female","No","Yes","No",71,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",85.75,6223.8,"No",TRUE
"343","Female","No","Yes","Yes",66,"Yes","Yes","DSL","Yes","Yes","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",67.45,4508.65,"No",TRUE
"346","Female","Yes","No","No",1,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",72.1,72.1,"No",FALSE
"347","Female","No","No","No",2,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",90.4,168.2,"Yes",TRUE
"349","Female","No","No","No",23,"No","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",44.95,996.85,"No",TRUE
"350","Female","Yes","Yes","No",64,"Yes","No","Fiber optic","Yes","Yes","Yes","No","No","Yes","One year","No","Bank transfer (automatic)",97,6430.9,"No",TRUE
"351","Male","No","Yes","Yes",37,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",62.8,2278.75,"No",TRUE
"352","Male","No","No","Yes",17,"Yes","No","DSL","No","No","No","No","No","No","One year","No","Mailed check",44.6,681.4,"No",TRUE
"353","Female","Yes","No","No",7,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",89.15,574.35,"No",TRUE
"354","Male","No","Yes","Yes",4,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",84.8,371.9,"Yes",FALSE
"355","Female","Yes","No","No",21,"No","No","DSL","Yes","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",41.9,840.1,"Yes",TRUE
"356","Female","No","No","No",10,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",80.25,846,"Yes",TRUE
"357","Female","Yes","No","No",16,"Yes","Yes","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",54.1,889,"No",TRUE
"358","Male","No","Yes","No",64,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","Two year","Yes","Electronic check",105.25,6823.4,"No",TRUE
"359","Male","Yes","Yes","No",27,"No","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",30.75,805.1,"Yes",FALSE
"360","Male","No","Yes","Yes",42,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","One year","No","Electronic check",97.1,4016.75,"No",TRUE
"362","Female","No","No","No",41,"Yes","No","Fiber optic","No","Yes","No","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",98.8,3959.15,"No",TRUE
